DATE,EXPECTED TYPE A TRUCKS,ACTUAL  TYPE A TRUCKS,OUTSIDE EXTRA  TYPE A TRUCKS,EXPECTED  TYPE B FORK TRUCKS,ACTUAL  TYPE B TRUCKS,EXPECTED  TYPE C TRUCKS,ACTUAL  TYPE C TRUCKS,"LARGE DELIVERIES 
(LBS)",SMALL DELIVERIES (LBS),"LARGE DELIVERIES 
(QTY)","SMALL DELIVERIES 
(QTY)"," RESCHEDULES
(QTY)","RESCHEDULES
(LBS)"
12-Jul-22,36,21,3,12,9,12,9,"17,417,415","1,007,640",539,273,6,"11,593"
13-Jul-22,36,21,3,12,9,12,12,"17,224,650","1,200,630",476,532,6,"3,606"
14-Jul-22,36,27,0,12,9,12,9,"15,199,125","1,347,195",476,476,7,"5,092"
15-Jul-22,36,18,0,12,9,12,12,"7,549,725","1,366,200",252,413,5,"7,436"
18-Jul-22,36,27,3,12,9,12,12,"16,639,080","857,880",441,252,10,"8,802"
19-Jul-22,36,21,6,12,9,12,12,"13,513,980","1,187,205",420,315,6,"14,439"
20-Jul-22,36,33,3,12,9,12,12,"13,166,145","1,098,540",371,392,5,"12,472"
21-Jul-22,36,24,3,12,9,12,12,"18,322,485","642,975",490,224,7,"10,836"
22-Jul-22,36,24,3,12,6,12,12,"10,934,055","630,150",294,196,4,"3,671"
25-Jul-22,36,24,6,12,9,12,12,"19,201,080","1,256,685",532,252,7,"4,918"
26-Jul-22,36,36,6,12,6,12,12,"14,627,310","1,375,455",448,336,5,"15,141"
27-Jul-22,36,27,3,12,6,12,12,"13,481,790","1,417,485",413,385,7,"11,555"
28-Jul-22,36,27,6,12,6,12,12,"15,092,910","817,755",455,350,8,"4,784"
29-Jul-22,36,33,3,12,6,12,12,"8,551,320","904,755",245,238,5,"8,604"
1-Aug-22,36,30,3,12,9,12,9,"17,443,545","974,940",602,287,7,"10,314"
2-Aug-22,36,30,3,12,9,12,12,"10,346,190","1,206,540",371,280,4,"3,928"
3-Aug-22,36,27,0,12,9,12,9,"10,320,885","1,162,935",301,371,8,"10,524"
4-Aug-22,36,21,0,12,6,12,12,"8,158,485","708,330",280,210,7,"5,775"
5-Aug-22,36,18,0,12,6,12,12,"7,737,105","1,153,305",196,329,5,"12,971"
8-Aug-22,36,24,3,12,6,12,12,"14,078,235","1,669,440",385,357,11,"20,943"
9-Aug-22,36,24,6,12,6,12,12,"10,128,885","1,087,215",322,357,6,"11,768"
10-Aug-22,36,18,6,12,6,12,12,"10,693,695","965,625",315,224,6,"20,765"
11-Aug-22,36,21,0,12,6,12,12,"10,553,700","839,910",336,455,8,"8,685"
12-Aug-22,36,15,3,12,6,12,12,"9,949,560","897,015",336,287,4,"3,173"
15-Aug-22,36,27,6,12,6,12,12,"18,934,860","1,326,855",364,301,7,"8,501"
16-Aug-22,36,21,3,12,3,12,12,"12,050,445","1,180,215",371,357,4,"10,718"
17-Aug-22,36,21,6,12,9,12,12,"12,484,605","1,052,700",392,427,5,"13,385"
18-Aug-22,36,24,3,12,9,12,12,"8,745,105","1,851,360",371,385,5,"6,717"
19-Aug-22,36,21,0,12,6,12,12,"13,047,825","836,415",322,224,5,"16,450"
22-Aug-22,36,21,0,12,6,12,12,"11,345,325","811,335",350,259,7,"25,327"
23-Aug-22,36,18,0,12,6,12,12,"9,082,155","652,155",245,245,5,"11,186"
24-Aug-22,36,21,0,12,6,12,12,"7,519,410","641,160",231,273,8,"10,259"
25-Aug-22,36,21,0,12,6,12,12,"13,733,325","1,186,980",427,315,5,705
26-Aug-22,36,21,3,12,6,12,12,"14,399,175","691,725",322,273,5,"10,136"
29-Aug-22,36,18,6,12,6,12,12,"16,242,015","804,360",525,294,6,"10,434"
30-Aug-22,36,18,0,12,6,12,12,"8,485,005","1,184,340",273,329,6,"4,028"
31-Aug-22,36,21,3,12,6,12,12,"12,578,895","1,323,900",392,301,5,"2,245"
1-Sep-22,36,21,3,12,9,12,12,"9,221,250","892,290",308,280,7,"12,399"
2-Sep-22,36,21,0,12,9,12,12,"8,936,895","809,400",238,245,5,"1,636"
6-Sep-22,36,21,6,12,9,12,12,"16,890,225","872,055",504,259,10,"3,413"
7-Sep-22,36,18,6,12,9,12,12,"10,810,230","1,784,715",364,483,5,"4,656"
8-Sep-22,36,21,3,12,9,12,12,"14,959,395","1,242,090",378,434,4,"1,948"
9-Sep-22,36,18,3,12,9,12,12,"13,462,050","673,545",392,266,3,668
12-Sep-22,36,21,9,12,9,12,12,"15,216,885","841,470",364,364,6,"3,705"
13-Sep-22,36,15,9,12,9,12,12,"16,133,325","1,302,825",546,308,3,0
14-Sep-22,36,30,3,12,9,12,12,"16,076,535","1,234,470",385,322,5,0
15-Sep-22,36,18,0,12,6,12,12,"10,526,880","703,440",385,189,6,"5,152"
16-Sep-22,36,21,0,12,6,12,9,"6,839,250","879,915",252,231,3,350
19-Sep-22,36,15,3,12,9,12,9,"11,845,050","1,258,710",413,420,5,"2,931"
20-Sep-22,36,24,0,12,9,12,9,"7,729,485","1,374,375",175,343,3,"6,693"
21-Sep-22,36,21,0,12,9,12,9,"7,146,885","1,140,930",273,287,4,"4,721"
22-Sep-22,36,18,0,12,9,12,6,"6,789,120","1,339,770",252,336,3,"2,989"
23-Sep-22,36,21,0,12,9,12,6,"6,100,770","999,270",196,280,4,"9,510"
26-Sep-22,36,24,3,12,9,12,6,"17,151,840","934,965",532,266,5,"12,320"
27-Sep-22,36,24,0,12,9,12,6,"10,766,670","1,122,900",245,322,3,"5,040"
28-Sep-22,36,30,0,12,9,12,6,"9,927,030","1,281,885",287,427,6,"7,346"
30-Sep-22,36,21,0,12,9,12,6,"7,396,185","708,570",266,301,4,"1,447"
3-Oct-22,36,24,0,12,9,12,6,"15,740,085","684,015",350,252,3,"7,560"
4-Oct-22,36,24,0,12,9,12,6,"14,990,520","1,360,215",280,357,4,"14,490"
5-Oct-22,36,24,0,12,9,12,6,"13,265,205","998,760",308,378,4,"9,263"
10-Oct-22,36,24,3,12,9,12,6,"16,210,200","1,019,205",455,490,4,"2,678"
11-Oct-22,36,24,0,12,9,12,6,"7,036,950","1,190,835",224,329,3,"8,641"
12-Oct-22,36,24,0,12,9,12,3,"11,585,340","1,382,280",343,434,3,"9,664"
13-Oct-22,36,21,0,12,9,12,6,"13,469,655","783,735",336,266,3,"7,214"
14-Oct-22,36,24,0,12,6,12,6,"9,978,555","1,327,020",231,434,3,"9,690"
17-Oct-22,36,21,3,12,9,12,6,"12,861,750","992,895",364,378,7,"18,021"
18-Oct-22,36,24,3,12,9,12,6,"13,610,820","1,350,585",308,511,3,"7,590"
19-Oct-22,36,24,0,12,9,12,6,"7,866,585","1,020,015",294,273,4,"7,518"
20-Oct-22,36,21,0,12,9,12,6,"10,983,825","1,519,740",294,420,4,"4,052"
21-Oct-22,36,24,3,12,9,12,6,"12,056,220","1,103,610",322,364,3,558
24-Oct-22,36,21,3,12,3,12,6,"8,877,180","1,101,960",273,364,4,"13,289"
25-Oct-22,36,24,0,12,6,12,6,"7,174,380","977,355",217,280,5,"16,068"
26-Oct-22,36,21,0,12,6,12,6,"9,407,880","950,625",385,350,3,"2,741"
27-Oct-22,36,21,0,12,6,12,6,"7,877,370","508,425",259,287,4,"8,554"
28-Oct-22,36,21,0,12,6,12,6,"6,748,230","503,355",154,189,4,"8,640"
31-Oct-22,36,18,0,12,6,12,6,"7,957,020","1,218,840",252,329,5,"11,115"
1-Nov-22,36,18,0,12,9,12,3,"14,081,190","1,112,145",315,434,5,"9,960"
2-Nov-22,36,18,0,12,9,12,3,"12,491,910","2,137,095",266,455,2,"9,647"
3-Nov-22,36,18,0,12,9,12,3,"10,136,850","1,482,600",273,553,4,771
4-Nov-22,36,21,0,12,6,12,3,"6,879,750","596,505",168,224,4,"8,319"
7-Nov-22,36,21,9,12,6,12,3,"16,109,745","1,088,370",420,287,5,"10,162"
8-Nov-22,36,24,0,12,6,12,3,"10,059,630","772,350",224,273,4,"3,060"
9-Nov-22,36,21,0,12,9,12,3,"14,508,750","1,139,310",350,357,4,"6,810"
10-Nov-22,36,21,0,12,9,12,3,"9,575,955","698,925",231,329,4,"3,139"
11-Nov-22,36,21,0,12,6,12,3,"8,950,005","954,945",203,336,3,"1,046"
14-Nov-22,36,18,0,12,6,12,3,"10,517,850","1,034,355",308,252,5,"25,547"
15-Nov-22,36,18,0,12,9,12,3,"6,406,560","1,159,680",182,336,4,"7,706"
16-Nov-22,36,18,0,12,9,12,3,"10,345,755","1,129,095",217,392,3,"10,032"
17-Nov-22,36,18,0,12,6,12,3,"5,244,855","1,697,040",182,434,5,"14,965"
