Date,Trucks (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (qty),Reschedules (lbs.),Temperature (°F),Precipitation (in),Lumber ($)
7/12/2023,38,14389166,647,5,9691,66.6,0.1,574.7
7/13/2023,38,14380807,646,5,9714,66.6,0.1,574
7/14/2023,37,14372448,645,5,9738,66.6,0.1,573.2
7/15/2023,37,14364089,645,5,9761,66.7,0.1,572.5
7/16/2023,37,14355731,644,5,9785,66.7,0.1,571.7
7/17/2023,37,14347372,643,5,9808,66.7,0.1,571
7/18/2023,37,14339013,643,5,9832,66.8,0.1,570.2
7/19/2023,37,14330655,642,5,9855,66.8,0.1,569.5
7/20/2023,37,14322296,641,5,9879,66.8,0.1,568.8
7/21/2023,37,14313937,641,5,9902,66.9,0.1,568
7/22/2023,37,14305578,640,5,9926,66.9,0.1,567.3
7/23/2023,37,14297220,639,5,9949,66.9,0.1,566.5
7/24/2023,36,15975645,903,4,3762,85,0,538.5
7/25/2023,36,15080610,749,6,9415,88.5,0,524
7/26/2023,36,16386810,749,4,2403,87.5,0,519
7/27/2023,33,14034840,672,5,3096,89.5,0,518
7/28/2023,36,16962405,791,5,4638,88.5,0,517
7/29/2023,37,14247067,636,5,10090,67.1,0.1,562
7/30/2023,37,14238709,635,5,10114,67.2,0.1,561.3
7/31/2023,36,15440850,665,6,6178,89,0,509
8/1/2023,39,14840820,679,6,9792,92,0,505
8/2/2023,39,19107300,812,3,1064,93,0,502
8/3/2023,39,14863170,686,5,7674,95,0,497
8/4/2023,36,17242185,742,2,1550,94.5,0,495.5
8/5/2023,38,14241028,640,5,9165,67.7,0.1,555.9
8/6/2023,38,14232669,639,5,9188,67.7,0.1,555.2
8/7/2023,36,16822620,679,4,2098,90,0,497
8/8/2023,39,17843310,623,3,5240,92,0,498.5
8/9/2023,39,15619935,805,4,3202,92.5,0.03,497.5
8/10/2023,39,15559410,658,4,2958,91,0,496
8/11/2023,39,12196050,511,4,7765,97,0,496
8/12/2023,37,14182517,635,5,9329,67.9,0.1,550.7
8/13/2023,37,14174158,635,5,9353,67.9,0.1,549.9
8/14/2023,36,16038810,903,4,7439,86,0,498.5
8/15/2023,36,15986820,721,4,5846,83,0,511
8/16/2023,36,14968755,665,5,5075,79,0,528.5
8/17/2023,36,13374825,742,6,11690,91.5,0,519
8/18/2023,36,16090365,707,5,6303,93.5,0,534.5
8/19/2023,37,14124006,631,5,9494,68.1,0.1,545.5
8/20/2023,37,14115647,630,5,9517,68.2,0.1,544.7
8/21/2023,39,18766290,868,5,1360,92,0,533
8/22/2023,36,17818125,973,4,5055,90.5,0,528
8/23/2023,39,12118755,742,6,5246,91.5,0,529
8/24/2023,39,15749820,742,4,6349,92,0,525.5
8/25/2023,39,15218115,651,6,1305,94,0,516
8/26/2023,37,14065495,627,5,9658,68.4,0.1,540.3
8/27/2023,37,14057136,626,5,9682,68.4,0.1,539.5
8/28/2023,39,16708740,742,5,10408,84,0,510.5
8/29/2023,39,15583590,756,6,10167,83.5,0,515
8/30/2023,39,16806930,791,3,8068,84,0,511
8/31/2023,39,13758975,679,5,18654,82.5,0,505.5
9/1/2023,39,15367830,588,4,6861,87.5,0,503
9/2/2023,38,14059455,631,5,8733,68.9,0.1,534.1
9/3/2023,38,14051096,630,5,8756,68.9,0.1,533.4
9/4/2023,38,14042738,630,5,8780,68.9,0.1,532.6
9/5/2023,36,17302350,756,3,3061,92.5,0,502.5
9/6/2023,39,16719705,672,4,9150,89.5,0,502
9/7/2023,39,16231485,644,4,10205,91,0,502
9/8/2023,36,13802970,644,4,4431,92,0.22,509.5
9/9/2023,37,14000944,626,5,8897,69.1,0.1,528.9
9/10/2023,37,13992585,626,5,8921,69.2,0.1,528.2
9/11/2023,39,14791815,735,6,6914,80.5,0.21,515
9/12/2023,39,13002585,630,5,14241,76,0.13,511
9/13/2023,36,14371095,784,6,11932,75.5,0.02,506
9/14/2023,39,14065125,693,6,10826,73.5,0.31,495.5
9/15/2023,36,13504185,490,4,11795,75.5,0,500.5
9/16/2023,37,13942433,622,5,9062,69.4,0.1,523.7
9/17/2023,37,13934074,621,5,9085,69.4,0.1,522.9
9/18/2023,36,16182900,728,7,13060,75.5,0,493.5
9/19/2023,39,14878140,574,5,10231,82,0.66,488
9/20/2023,39,11215710,595,6,2726,81.5,0.05,484
9/21/2023,39,15475845,651,6,13918,85,0.31,481.5
9/22/2023,39,18302190,644,4,12959,86.5,0,482.5
9/23/2023,37,13883922,617,5,9226,69.6,0.1,518.5
9/24/2023,37,13875563,617,5,9250,69.6,0.1,517.7
9/25/2023,36,18101505,560,5,3366,81,0,496
9/26/2023,39,18074760,672,5,5775,79.5,0,494.5
9/27/2023,39,3664290,630,4,3363,80.5,0,502
9/28/2023,39,18403380,637,6,12266,81,0,508
9/29/2023,39,16037085,616,5,4011,84.5,0,504
9/30/2023,37,13825411,613,5,9391,69.8,0.1,513.2
10/1/2023,38,13861165,621,4,8348,70.2,0.1,510.8
10/2/2023,36,15418755,805,5,3841,76.5,0,497
10/3/2023,36,16815285,658,4,4559,79,0,491.5
10/4/2023,36,17248860,805,3,5888,82.5,0.6,499
10/5/2023,36,14430435,658,3,12484,74,0.06,487
10/6/2023,30,12880755,595,4,16216,72.5,0,493.5
10/7/2023,37,13811013,617,4,8489,70.4,0.1,506.4
10/8/2023,37,13802654,616,5,8512,70.4,0.1,505.6
10/9/2023,33,17345025,903,3,4993,71,0,489.5
10/10/2023,33,14525895,574,2,14870,71.5,0,501
10/11/2023,39,10705680,525,3,7609,71.5,0,506.5
10/12/2023,39,11678265,553,4,9515,72,0,505
10/13/2023,39,12365445,665,3,8722,66,0,506
10/14/2023,37,13752502,612,5,8653,70.6,0.1,501.2
10/15/2023,37,13744143,612,5,8677,70.6,0.1,500.4
10/16/2023,39,16148745,791,5,9701,53,0,500.5
10/17/2023,39,16494210,630,2,7238,54,0,500.5
10/18/2023,36,16420425,672,4,7894,66,0,501
10/19/2023,36,12548430,700,4,11224,67.5,0,498
10/20/2023,36,9602760,511,1,3504,70.5,0,488
10/21/2023,37,13693991,608,5,8818,70.9,0.1,495.9
10/22/2023,37,13685632,607,5,8841,70.9,0.1,495.2
10/23/2023,36,15564660,574,5,11419,74.5,0.67,482.5
10/24/2023,36,18225180,763,4,11449,72,0.56,479.5
10/25/2023,36,18975780,700,4,11190,72,2.43,483.5
10/26/2023,37,13652197,605,5,8935,71,0.1,492.2
10/27/2023,37,13643838,604,5,8958,71.1,0.1,491.5
10/28/2023,36,13635480,603,5,8982,71.1,0.1,490.7
10/29/2023,36,13627121,603,5,9005,71.1,0.1,490
10/30/2023,36,13618762,602,5,9029,71.2,0.1,489.2
10/31/2023,36,13610404,601,5,9052,71.2,0.1,488.5
11/1/2023,37,13654516,609,4,7986,71.5,0.1,486.8
11/2/2023,37,13646157,609,4,8009,71.5,0.1,486.1
11/3/2023,37,13637799,608,4,8033,71.6,0.1,485.3
11/4/2023,37,13629440,608,4,8056,71.6,0.1,484.6
