Date,Trucks (actual) (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (lbs.),Reschedules (qty),Avg. Temperature (°F),Precipitation (in),Lumber ($)
8/31/2022,39,13902795,693,2245,5,82,0,512.00
9/1/2022,42,10113540,588,12399,7,77.5,0.2,499.70
9/2/2022,42,9746295,483,1636,5,79,0,494.60
9/6/2022,42,17762280,763,3413,10,81,0,485.00
9/7/2022,39,12594945,847,4656,5,81,0,504.50
9/8/2022,42,16201485,812,1948,4,78.5,0,513.40
9/9/2022,39,14135595,658,668,3,76.5,0,509.00
9/12/2022,42,16058355,728,3705,6,71.5,0,554.90
9/15/2022,36,11230320,574,5152,6,74,0,482.00
9/16/2022,36,7719165,483,350,3,78.5,0,474.10
9/19/2022,33,13103760,833,2931,5,82.5,0,483.00
9/20/2022,42,9103860,518,6693,3,83,0,515.90
9/21/2022,39,8287815,560,4721,4,83,0,493.00
9/22/2022,33,8128890,588,2989,3,81.5,0,460.00
9/23/2022,36,7100040,476,9510,4,81.5,0,435.00
9/26/2022,39,18086805,798,12320,5,71.5,0,413.00
9/27/2022,39,11889570,567,5040,3,70.5,0,432.00
9/28/2022,45,11208915,714,7346,6,74,0,432.80
9/30/2022,36,8104755,567,1447,4,65.5,0,424.80
10/3/2022,39,16424100,602,7560,3,65.5,0,427.90
10/4/2022,39,16350735,637,14490,4,67,0,433.90
10/5/2022,39,14263965,686,9263,4,69.5,0,435.60
10/10/2022,39,17229405,945,2678,4,71.5,0,450.00
10/11/2022,39,8227785,553,8641,3,73,0.1,475.00
10/12/2022,36,12967620,777,9664,3,78,0,486.20
10/13/2022,36,14253390,602,7214,3,65,0,498.50
10/14/2022,36,11305575,665,9690,3,66,0,492.60
10/17/2022,36,13854645,742,18021,7,57.5,0,510.10
10/18/2022,39,14961405,819,7590,3,52,0,517.20
10/19/2022,39,8886600,567,7518,4,50.5,0,534.70
10/20/2022,36,12503565,714,4052,4,65,0,533.40
10/21/2022,39,13159830,686,558,3,66.5,0,535.30
10/24/2022,30,9979140,637,13289,4,67,1.42,504.20
10/25/2022,36,8151735,497,16068,5,56.5,0,487.00
10/26/2022,33,10358505,735,2741,3,56,0,496.00
10/27/2022,33,8385795,546,8554,4,60,0,477.40
10/28/2022,33,7251585,343,8640,4,57.5,1.77,466.10
10/31/2022,30,9175860,581,11115,5,60,0,461.30
11/1/2022,30,15193335,749,9960,5,62.5,0,457.60
11/2/2022,30,14629005,721,9647,2,65,0,450.00
11/3/2022,30,11619450,826,771,4,70.5,0,435.00
11/4/2022,30,7476255,392,8319,4,60.5,1.13,435.00
11/7/2022,30,17198115,707,10162,5,67,0.02,455.00
11/8/2022,33,10831980,497,3060,4,73.5,0,450.90
11/9/2022,33,15648060,707,6810,4,74.5,0,460.00
11/10/2022,33,10274880,560,3139,4,69,0,460.00
11/11/2022,30,9904950,539,1046,3,52.5,1.39,460.00
11/14/2022,27,11552205,560,25547,5,41.5,0.38,447.50
11/15/2022,30,7566240,518,7706,4,41.5,0.01,454.80
11/16/2022,30,11474850,609,10032,3,43,0,430.50
11/17/2022,27,6941895,616,14965,5,43,0,441.00
11/18/2022,33,7680180,434,1411,3,38.5,0,441.00
11/21/2022,30,11637645,595,10824,4,46,0,435.00
11/22/2022,30,12314370,476,2491,2,47,0,426.10
11/23/2022,30,8327355,462,7165,2,49.5,0.36,432.00
11/28/2022,30,10723935,546,11800,5,50,0,420.90
11/29/2022,30,9804015,511,4926,3,59.5,0,425.00
11/30/2022,33,8734845,525,4194,3,40,0,429.50
12/1/2022,30,5169540,441,6387,3,39.5,0,413.20
12/2/2022,30,6696075,371,273,2,58.5,0,413.20
12/5/2022,33,14465730,609,9288,3,66,0,392.30
12/7/2022,39,13010910,560,415,2,57,0.06,425.60
12/8/2022,30,8406840,455,4610,3,63,0,410.30
12/9/2022,33,12297720,413,2565,2,61,0,410.30
12/12/2022,30,13392195,462,3538,4,58.5,0.01,410.70
12/13/2022,30,4434945,343,1871,2,58.5,0.79,405.90
12/14/2022,33,7361535,280,13065,4,47.5,0,397.00
12/15/2022,30,8486535,420,12437,3,42,0,396.00
12/16/2022,33,7045080,434,6514,3,38,0,396.00
12/19/2022,33,16690050,553,14602,5,47,0,374.60
12/20/2022,33,11620470,686,5718,3,44.5,0,372.50
12/21/2022,33,10891890,609,6737,3,38.5,0,378.00
12/22/2022,33,10065480,469,6282,3,27,0,379.00
12/26/2022,33,5600295,280,4041,2,41.5,0,384.00
12/27/2022,33,11624505,343,1972,3,35,0,396.90
12/28/2022,33,7173540,462,2924,1,57.5,0,392.00
12/29/2022,33,12983985,511,16282,4,59.5,0,383.80
1/3/2023,33,10751820,539,10268,2,51.5,0,363.00
1/4/2023,27,15713250,679,3387,2,43,0,360.50
1/5/2023,27,9955005,483,3253,2,45,0,353.70
1/9/2023,33,17666970,749,2807,3,48.5,0,350.00
1/10/2023,33,10949625,504,6623,3,59,0,348.00
1/11/2023,33,13535655,882,5840,2,63.5,0,345.00
1/12/2023,27,7158510,546,2676,2,48.5,0,351.80
1/18/2023,33,12693375,665,7760,2,59,0.04,428.00
1/19/2023,30,14270985,770,4253,1,45.5,0,428.80
1/20/2023,30,7997055,462,1569,1,45,0,428.80
1/23/2023,30,13473300,588,4614,4,38,0,437.70
1/24/2023,33,12390765,462,539,3,40,0.9,458.90
1/25/2023,33,11097045,609,15683,4,37,0,464.10
1/26/2023,33,5531040,476,5909,4,40,0,488.20
1/27/2023,30,15093210,623,13416,3,43,0,495.10
1/30/2023,33,4565685,140,135,8,26,0.37,516.50
2/6/2023,30,13872675,448,5373,6,62.5,0,482.30
2/7/2023,30,8198205,343,608,4,55,0.32,469.10
2/8/2023,33,5537550,280,3891,5,40,0.99,452.40
2/9/2023,30,3938685,329,863,5,44.5,0,433.50
2/10/2023,30,6428280,399,993,4,39.5,0,423.70
2/14/2023,33,3999870,385,238,3,59.5,0.58,402.50
2/17/2023,30,9279420,525,3700,2,39,0,388.50
3/2/2023,33,14492640,847,275,4,67,1.18,370.50
3/3/2023,33,12420420,490,506,3,52,0.12,369.00
3/6/2023,33,17520690,672,8183,5,68.5,0,370.50
3/7/2023,33,12964590,679,120,6,64,0,361.20
3/8/2023,30,13364550,574,658,5,52.5,0.63,370.00
3/10/2023,30,14875815,630,2529,5,51,0,362.80
3/15/2023,30,15549840,784,4034,7,55.5,0,347.00
3/16/2023,30,11314185,539,14883,6,57.5,0,438.60
3/17/2023,27,12489045,630,1625,5,45,0,452.40
3/20/2023,24,15867345,805,5980,6,44.5,0,441.30
3/21/2023,30,16224915,679,2725,5,61,0,441.90
3/22/2023,33,17349375,770,2353,5,75,0,425.90
3/23/2023,33,16532985,763,8433,5,74.5,0,411.20
3/24/2023,33,14094225,644,2951,4,65,0.69,413.30
3/27/2023,33,16168815,812,2895,5,56,0,398.00
3/28/2023,33,17672790,777,1904,4,51.5,0,384.30
3/29/2023,36,18328860,693,2686,4,51.5,0,376.00
3/30/2023,33,16264275,756,3695,4,66,0,375.50
3/31/2023,27,17138700,833,2221,3,65,0,370.50
4/3/2023,36,16650930,707,6270,6,73.5,0,370.70
4/4/2023,36,15841005,798,1871,4,74.5,0,376.40
4/5/2023,36,17336130,784,4001,3,61,0,382.10
4/6/2023,36,18637260,826,1122,3,50.5,0,382.50
4/7/2023,33,17146095,630,3364,3,53.5,0,382.50
4/10/2023,30,18754530,686,625,4,63,0,381.20
4/11/2023,30,16744365,721,2251,4,60.5,0,386.00
4/12/2023,33,16666785,763,973,4,60.5,0,388.30
4/14/2023,33,14345280,651,10140,4,68,0,419.90
4/17/2023,33,14421990,903,4668,4,59.5,0,424.60
4/18/2023,33,15452205,686,5357,3,67,0,403.50
4/19/2023,36,15986760,735,2799,4,75.5,0,396.20
4/20/2023,36,14296605,840,2508,4,70,0,398.50
4/21/2023,36,14554515,735,1713,4,61.5,0,390.80
4/24/2023,33,14285670,854,6902,5,53,0,382.00
4/25/2023,33,14907150,798,10214,4,65.5,0.04,365.10
4/26/2023,30,16714455,707,1987,5,57.5,0.67,348.00
4/27/2023,33,14420355,735,7422,3,57,0,353.80
4/28/2023,33,15021585,511,5326,4,58,0,347.20
5/1/2023,36,14759505,903,794,6,61,0,347.20
5/2/2023,36,14105205,777,8959,5,63,0,341.00
5/3/2023,36,16591590,805,3178,4,69,0,341.00
5/4/2023,36,13490445,728,7803,4,71.5,0,354.80
5/5/2023,36,8239635,553,6834,3,82.5,0,354.80
5/8/2023,33,11740470,903,6631,4,79,0,358.00
5/9/2023,30,18071250,840,2961,6,78,0,344.00
5/10/2023,33,12738480,805,6885,5,71,0,344.00
5/11/2023,36,14423580,749,12388,6,77,0,346.90
5/12/2023,33,12704610,777,13090,4,83,0,339.00
5/15/2023,33,15578010,903,10830,4,76,0.6,339.00
5/16/2023,39,16958115,868,10936,4,68.5,0,344.00
5/17/2023,33,16372755,602,11743,5,69,0,344.00
5/18/2023,36,17351115,721,7775,3,74,0,344.00
5/19/2023,36,15568335,749,13617,4,78.5,0,344.00
5/22/2023,33,14201460,903,12556,5,68,0,344.00
5/23/2023,39,14219505,742,16111,5,76.5,0,344.00
5/24/2023,36,18630825,721,8000,6,76,0.02,344.00
5/25/2023,39,17728140,693,4247,4,74,0,344.00
5/26/2023,36,15346305,644,8416,4,73.5,0,344.00
5/30/2023,33,19027260,840,2966,6,75.5,0.02,344.00
5/31/2023,30,17198265,889,2497,6,76.5,0,344.00
6/1/2023,39,18503595,770,4788,5,78.5,0,344.00
6/2/2023,39,16789395,672,10858,5,79,0,344.00
